id,text
2401,"活动二：消费满额加送两次代驾服务,2022年1月1日至12月31日，首次成功办理家庭卡银联版的主卡持卡人非微信、支付宝消费满1万元，即可额外获赠2次同城单程50公里内免费代驾服务，限量1万份，先到先得"
2402,消费越多，里程越多3.高额航空保险对于经常处于旅行奔波的人士来说，出行安全及有关保障是其考虑的首要因素作为南航明珠中银信用卡客户，您将能够享受到全面周到的保险服务您只需刷卡购买机票或刷卡支付80％以上的旅游团费，即可以自动获得高额的出行保险，包括航空意外险、航班延误险、行李损失险等
2403,"温馨提示：新办卡客户消费达标后可同时参与上述两个赠礼活动,刷卡满200元享118元返现:2021年5月1日-2022年4月30日，通过建行手机银行、“中国建设银行”或“龙卡信用卡”微信公众号、建行网站、建行移动门户成功申办我行信用卡的新客户，核卡后30天内消费三笔且合计满200元人民币（或等值外币），即可获赠118元返现奖励（每月限前30000名）"
2404,该卡为银联单币种信用卡，具有新一代长城信用卡所有功能中银海西文化信用卡是长城品牌下面向福建本土文化产业开发的细分产品，具有存款有息、贷款免息、可选凭密码消费、挂失零风险、大额交易确认、自动还款、分期付款、网银服务等强大功能
2405,"（2）航班及行李延误险,使用家庭卡银联版支付本人100%国内外机票款（含折扣机票款）或100%旅行团费（需含飞机票款），可免费获赠我行赠送的高额航班行李延误保障服务符合理赔条件的，航班每延误4小时赔付200元，每自然年不超过2000元，行李每延误4小时赔付100元，每自然年不超过1000元"
2406,如卡片丢失，您可在任何时间致电24小时客服热线办理电话挂失，锁定风险！5．自动还款，您的金融管家您可将在中国银行开立的储蓄帐户、长城借记卡与信用卡关联，选择自动还款，灵活方便！此外，我们还提供予持卡人电子现金小额支付功能，实现您的便利缴费和支付
2407,"收费标准及优惠条件:1.年费标准及优惠条件,主卡年费580元/卡，附属卡年费300元/卡，卡片开户60天后首个账单日收取，按年收取，未激活收取固定刚性年费，无刷卡免年费优惠即日起每张主卡可享两张附属卡免年费活动，活动有效期至2023年12月31日"
2408,同时还可申请将名下公积金联名卡作为公积金约定提取的指定账户北京住房公积金长城联名卡是一张符合银联PBOC2.0标准的信用卡，具备长城环球通IC信用卡的基本功能与服务，包括先消费后还款、免息还款期、最低还款额等循环信用功能以及预借现金、分期付款、全球优惠商户专属折扣、缤纷积分好礼等，充分满足您消费理财的需要；更有短信随身行、可选凭密消费、挂失零风险，重重保障，为您安全护航
2409,温馨提示：（1）专项积分的累积、计算、有效期、兑换等事宜详见《龙卡信用卡积分规则》：http://jf.ccb.com/exchangecenter/help/index.jhtml?pid=p21
2410,6、挂失无风险高枕无忧行如您的联名卡不慎遗失，只需拨打24小时客服热线40066-95566/（010）66085566办妥挂失手续，则无需承担挂失后的任何风险7、贴心服务年费全免成功申请联名卡后，我行将为您提供年费全免的贴心服务
